word	label
say	continue

uh	continue

like	continue

yeah	end

uhhuh	end

uh	continue

right	end

yeah	end

okay	continue

uh	continue

youknow	continue

yeah	end

yeah	end

um	continue

uh	continue

youknow	continue

yeah	end

say	continue

uh	continue

yeah	end

yeah	end

um	continue

uhhuh	end

uhhuh	end

oh	continue

yeah	continue

yeah	continue

youknow	continue

well	continue

uhhuh	continue

oh	end

right	end

thatstrue	end

uhhuh	end

yeah	end

um	end

now	continue

now	end

yes	continue

uh	end

uhhuh	end

uh	continue

yeah	end

oh	end

yeah	continue

uh	continue

youknow	end

uh	continue

like	continue

yeah	end

like	continue

right	end

yeah	end

yeah	end

um	continue

youknow	end

uh	continue

uhhuh	end

so	continue

uh	end

so	continue

yes	end

uhhuh	end

uhhuh	end

uh	continue

so	continue

actually	continue

oh	end

yeah	end

uhhuh	end

youknow	continue

sure	continue

uhhuh	end

youknow	continue

so	continue

uh	continue

like	continue

uhhuh	end

uhhuh	end

say	continue

uhhuh	end

like	continue

now	continue

nice	continue

like	continue

youknow	continue

well	continue

yeah	end

um	continue

uh	continue

so	continue

uh	end

yeah	continue

yeah	end

uhhuh	continue

well	continue

yeah	continue

yeah	end

well	continue

see	continue

yeah	end

youknow	continue

uhhuh	end

so	end

like	end

um	continue

uhhuh	end

uh	continue

so	continue

now	continue

yeah	end

yeah	end

oh	continue

like	continue

youknow	continue

yeah	end

um	continue

uh	continue

youknow	continue

uhhuh	end

youknow	continue

uhhuh	end

yeah	end

right	continue

oh	end

um	continue

yeah	end

uhhuh	end

yeah	continue

youknow	continue

uhhuh	continue

now	end

well	continue

yeah	end

yeah	end

well	continue

um	end

so	continue

yeah	end

yeah	end

yeah	end

so	continue

youknow	continue

um	continue

uh	end

yeah	continue

uh	continue

yeah	end

uhhuh	continue

oh	end

so	continue

huh	end

youknow	continue

sure	end

um	continue

yeah	continue

um	continue

um	continue

oh	end

yeah	continue

uhhuh	end

uhhuh	end

now	continue

well	continue

right	end

yeah	end

oh	end

yeah	end

uh	end

uh	continue

so	continue

uh	continue

well	continue

like	continue

yeah	end

uhhuh	end

right	continue

okay	end

yeah	end

um	continue

oh	end

now	end

so	continue

yeah	end

oh	continue

oh	end

uh	continue

um	end

yeah	continue

well	continue

right	end

now	end

hum	end

like	continue

oh	end

uhhuh	end

yeah	end

uh	continue

yeah	continue

uhhuh	end

uhhuh	end

uh	continue

uh	continue

yeah	continue

uhhuh	end

so	continue

like	continue

right	end

yeah	end

say	end

uh	continue

yeah	end

youknow	continue

oh	continue

so	end

uhhuh	end

like	continue

uh	end

yeah	end

um	end

youknow	continue

uh	continue

yeah	end

yeah	continue

oh	continue

right	end

yeah	continue

well	continue

uh	continue

yeah	end

yeah	end

uh	continue

uhhuh	end

yeah	end

yeah	continue

now	continue

huh	end

thatstrue	end

youknow	end

uhhuh	end

oh	end

uhhuh	end

uh	continue

so	continue

oh	continue

yeah	end

right	end

youknow	end

uh	end

uhhuh	end

yeah	continue

uh	continue

anyway	end

youknow	continue

uh	continue

yeah	end

see	end

uh	continue

uh	continue

uh	end

oh	end

um	continue

uh	end

actually	continue

uh	continue

uhhuh	end

uh	continue

oh	end

so	continue

yeah	end

uhhuh	end

yeah	end

uh	continue

right	end

right	end

oh	continue

so	continue

yep	continue

youknow	continue

yes	continue

hm	continue

um	end

oh	continue

right	end

oh	end

now	continue

like	continue

right	end

uh	continue

oh	end

uhhuh	end

uhhuh	end

uhhuh	end

right	end

so	end

youknow	continue

so	continue

oh	end

youknow	continue

uh	continue

uhhuh	end

so	continue

huh	end

yeah	end

uhhuh	end

uhhuh	end

uhhuh	end

uhhuh	end

oh	end

uhhuh	end

huh	end

uhhuh	end

oh	continue

uh	continue

uh	continue

see	continue

okay	end

yeah	end

right	end

right	continue

thatstrue	continue

like	continue

oh	continue

huh	continue

like	continue

yeah	continue

yeah	end

so	continue

uhhuh	end

okay	end

hm	end

well	continue

oh	end

yes	continue

like	continue

right	end

yeah	end

true	end

youknow	continue

um	continue

yeah	end

now	continue

uhhuh	end

youknow	continue

right	end

like	continue

yeah	end
