word	label
right	seek

say	continue

well	seek

well	seek

uhhuh	reinforce

uhhuh	reinforce

uhhuh	reinforce

youknow	seek

uhhuh	reinforce

uhhuh	reinforce

yeah	seek

yeah	seek

yeah	seek

anyway	end

yeah	seek

well	seek

oh	seek

youknow	seek

uhhuh	reinforce

yeah	reinforce

right	end

nice	end

uh	seek

well	continue

yeah	reinforce

yeah	reinforce

well	seek

nice	continue

thatsright	end

yeah	reinforce

say	end

uhhuh	end

youknow	seek

huhuh	end

sure	reinforce

so	end

yeah	reinforce

now	continue

like	continue

oh	seek

yeah	reinforce

yeah	reinforce

well	end

yeah	reinforce

so	continue

well	continue

like	continue

uhhuh	reinforce

so	seek

uhhuh	reinforce

yeah	seek

youknow	continue

yeah	seek

yes	end

see	seek

so	end

oh	seek

uhhuh	reinforce

thatsright	end

yeah	reinforce

yousee	continue

yeah	reinforce

uhhuh	reinforce

uh	continue

right	end

yeah	end

yeah	seek

uhhuh	seek

yeah	seek

oh	seek

yeah	reinforce

yeah	seek

yeah	reinforce

right	end

thatsright	seek

well	end

uhhuh	reinforce

so	continue

yeah	end

like	continue

sure	reinforce

say	continue

uhhuh	reinforce

uhhuh	reinforce

oh	reinforce

um	continue

so	continue

actually	continue

yeah	seek

uh	end

uhhuh	reinforce

uhhuh	reinforce

so	end

well	end

right	seek

now	continue

well	seek

uhhuh	reinforce

now	end

oh	seek

yeah	seek

sure	continue

well	seek

nice	end

so	end

now	continue

um	continue

uh	continue

um	end

yeah	seek

right	end

yeah	seek

oh	seek

uh	end

uhhuh	reinforce

uh	continue

um	end

well	end

so	end

yeah	seek

right	end

so	seek

nice	continue

yeah	reinforce

like	continue

nice	end

uh	end

right	reinforce

yes	seek

well	end

uhhuh	reinforce

say	continue

uhhuh	reinforce

well	seek

uhhuh	reinforce

uhhuh	reinforce

anyway	end

yes	end

yeah	reinforce

uh	continue

yeah	end

uhhuh	seek

yeah	reinforce

uhhuh	reinforce

youknow	continue

oh	seek

uhhuh	reinforce

yes	reinforce

right	reinforce

um	continue

thatsright	end

well	reinforce

yeah	end

so	seek

see	continue

yeah	end

anyway	end

um	seek

uhhuh	reinforce

uhhuh	seek

like	continue

yeah	reinforce

uhhuh	reinforce

yeah	seek

so	continue

youknow	end

right	reinforce

well	end

so	continue

oh	continue

yeah	reinforce

right	reinforce

yeah	reinforce

uh	end

uh	end

uhhuh	reinforce

uh	end

uhhuh	reinforce

okay	reinforce

uh	end

now	continue

yes	seek

oh	continue

youknow	end

yeah	reinforce

yeah	seek

yeah	seek

well	end

yeah	seek

well	seek

yeah	reinforce

like	continue

uhhuh	reinforce

uhhuh	reinforce

well	seek

uhhuh	reinforce

uh	continue

uh	seek

now	end

yeah	reinforce

oh	seek

so	continue

uhhuh	reinforce

yeah	end

oh	reinforce

so	end

uh	continue

uh	end

yeah	seek

uhhuh	reinforce

um	end

so	continue

okay	reinforce

so	end

oh	reinforce

yeah	reinforce

uh	continue

youknow	continue

right	seek

right	reinforce

uhhuh	reinforce

yeah	end

wow	end

right	reinforce

oh	end

well	continue

uhhuh	reinforce

right	continue

so	end

say	end

uhhuh	continue

yeah	end

uh	continue

so	seek

yeah	seek

right	end

uhhuh	reinforce

nice	seek

um	seek

yeah	reinforce

yes	seek

so	end

like	continue

uh	continue

yes	seek

so	seek

yeah	seek

yep	seek

youknow	continue

now	seek

like	continue

uh	continue

so	continue

youknow	seek

yeah	seek

youknow	continue

so	seek

okay	continue

uh	continue

yeah	reinforce

thatsright	end

see	continue

oh	reinforce

oh	seek

yeah	end

like	continue

oh	seek

uh	continue

uhhuh	reinforce

huh	end

wow	seek

uhhuh	reinforce

nice	end

okay	seek

so	seek

um	end

so	end

youknow	seek

youknow	continue

now	end

uhhuh	reinforce

uhhuh	reinforce

uh	continue

oh	seek

yep	end

well	seek

yeah	end

anyway	end

well	end

yeah	reinforce

uhhuh	reinforce

yeah	reinforce

yeah	reinforce

uhhuh	reinforce

well	seek

huhuh	reinforce

uhhuh	seek

uhhuh	reinforce

yeah	continue

well	end

uh	continue

now	end

yeah	seek

yeah	end

uhhuh	reinforce

uh	end

like	continue

okay	seek

actually	continue

yeah	reinforce

right	reinforce

anyway	seek

youknow	continue

yeah	reinforce

uhhuh	reinforce

yeah	reinforce

uh	continue

huh	end

yeah	reinforce

uh	end

right	continue

well	continue

uh	end

uh	continue

oh	seek

uh	end

yeah	seek

um	end

um	end

yeah	end

yeah	reinforce

oh	seek

uhhuh	reinforce

sure	end

yeah	seek

uhhuh	reinforce

yes	seek

yeah	end

well	seek

so	end

uh	continue

yeah	seek

true	end

so	continue

uh	end

thatstrue	seek

see	continue

um	continue

youknow	end

so	seek

oh	reinforce

nice	end

uhhuh	reinforce

uhhuh	reinforce

okay	reinforce

well	end

yeah	seek

um	seek

okay	end

well	continue

well	end

yeah	reinforce

oh	seek

uh	continue

uhhuh	reinforce

huh	end

so	end

okay	seek

uh	end

okay	reinforce

uhhuh	reinforce

um	seek

okay	seek

uhhuh	reinforce

uhhuh	reinforce

yeah	seek

youknow	end

right	continue

uh	continue

youknow	end

yeah	end

yeah	reinforce

youknow	continue

uh	end

wow	seek

uh	continue

okay	end

uh	end

thatsright	seek

right	end

sure	reinforce

like	continue

thatsright	seek

uhhuh	seek

huh	end

uh	continue

oh	seek

uh	continue

so	end

uhhuh	seek

right	reinforce

so	seek

um	seek

uh	end

uh	continue

yeah	end

youknow	end

youknow	end

right	end

thatstrue	end

oh	reinforce

thatstrue	end

like	continue

anyway	end

youknow	end

well	seek

uh	seek

huh	end

well	seek

uhhuh	reinforce

like	continue

um	seek

oh	reinforce

like	continue

oh	continue

nice	seek

uhhuh	reinforce

so	continue

uh	continue

uhhuh	reinforce

right	reinforce

yeah	end

see	reinforce

uh	continue

hm	reinforce

oh	continue

yeah	seek

yeah	end

yousee	continue

yeah	seek

so	end

yeah	reinforce

so	continue

yeah	reinforce

well	seek

yeah	end

youknow	continue

uhhuh	seek

um	seek

right	end

well	seek

well	continue

so	continue

um	end

uhhuh	reinforce

um	continue

so	continue

yeah	seek

thatsright	end

youknow	seek

uh	end

now	end

hum	reinforce

see	end

right	end

youknow	continue

uh	continue

uh	continue

right	reinforce

so	continue

uh	end

youknow	end

so	end

uh	end

so	end

uhhuh	reinforce

uh	continue

uh	seek

uh	continue

uh	continue

uh	end

like	continue

uhhuh	reinforce

yeah	end

so	end

yeah	seek

yeah	reinforce

like	continue

so	end

right	reinforce

yeah	seek

sure	seek

so	end

oh	reinforce

yeah	seek

yeah	reinforce

youknow	end

right	seek

uhhuh	seek

well	seek

um	end

true	end

so	end

right	seek

okay	reinforce

well	seek

uh	continue

uhhuh	reinforce

well	seek

uhhuh	reinforce

uh	continue

now	end

yeah	reinforce

oh	reinforce

yeah	reinforce

um	continue

uhhuh	reinforce

yeah	reinforce

hm	reinforce

so	end

thatstrue	end

youknow	continue

uh	continue

oh	seek

now	end

uhhuh	reinforce

oh	seek

um	continue

uh	continue

yes	seek

uh	end

yeah	reinforce

say	end

youknow	continue

right	continue

uhhuh	reinforce

yeah	reinforce

youknow	continue

yeah	seek

oh	seek

uhhuh	reinforce

yeah	end

uhhuh	reinforce

wow	seek

uhhuh	reinforce

uhhuh	reinforce

uhhuh	reinforce

now	continue

okay	end

like	continue

uh	end

like	continue

see	continue

um	continue

uhhuh	reinforce

youknow	seek

um	end

thatsright	seek

youknow	end

youknow	continue

yeah	continue

huh	end

yes	seek

uh	end

uhhuh	reinforce

uhhuh	reinforce

uh	reinforce

uhhuh	reinforce

uhhuh	reinforce

well	seek

uh	seek

um	seek

oh	reinforce

so	end

uhhuh	seek

um	end

um	reinforce

oh	reinforce

like	continue

yes	seek

well	seek

uhhuh	reinforce

now	end

um	seek

right	reinforce

yeah	end

uhhuh	reinforce

right	end

so	seek

uh	continue

well	seek

oh	reinforce

uhhuh	reinforce

so	continue

now	continue

actually	end

youknow	seek

youknow	continue

right	end

uhhuh	reinforce

actually	seek

uhhuh	seek

now	continue

uhhuh	reinforce

yeah	reinforce

okay	end

well	continue

yeah	seek

like	continue

yeah	continue

right	continue

um	end

uhhuh	reinforce

like	continue

wow	seek

yeah	reinforce

yeah	seek

right	reinforce

uhhuh	reinforce

youknow	continue

yeah	reinforce

uhhuh	reinforce

thatstrue	end

yeah	seek

uhhuh	reinforce

like	continue

okay	reinforce

well	seek

yeah	continue

so	continue

uhhuh	reinforce

uhhuh	reinforce

oh	reinforce

yeah	continue

yeah	seek

oh	seek

oh	seek

uhhuh	reinforce

uhhuh	reinforce

thatstrue	end

uh	continue

like	continue

yeah	seek

yeah	seek

wow	seek

now	end

um	end

yeah	seek

well	seek

well	seek

uhhuh	reinforce

